,loop,num_leaves,min_child_samples,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,n_estimators,learning_rate,random_state,score
12,12,168,"(18,)","(0,)",0.5164500592083595,0.3507389058289435,0.05308172562359735,3.335525773559496e-14,9,0.09121427787699977,42,2.5401613388665756
78,78,122,"(63,)","(0,)",0.540374641618334,0.6853694834175273,0.00023966580760784677,5.068251168001359e-10,10,0.03140954358814447,42,2.563003083055898
43,43,74,"(87,)","(0,)",0.9375032020007095,0.7606925910472051,9.648567212015729e-06,0.08690351601948529,10,0.0322672516801312,42,2.563729611287008
75,75,80,"(95,)","(0,)",0.21104486598828284,0.6008420155315364,0.007317938248086156,4.881704675285298e-12,10,0.028277854172104554,42,2.5840460243982037
45,45,96,"(74,)","(0,)",0.12209605145309846,0.5107211752175363,7.337740152004396e-07,6.241089988597059e-11,10,0.023625176752767332,42,2.605512616943879
80,80,50,"(172,)","(0,)",0.5828766749595417,0.34502261065153134,8.226367184998402e-06,1.8518338872808274e-10,10,0.016875917652598132,42,2.632820132455576
42,42,149,"(49,)","(0,)",0.7508829412220998,0.5430275648616122,2.1058126686048816e-09,1.1495419469123996e-12,10,0.00784749282546527,42,2.642849091609376
31,31,79,"(96,)","(0,)",0.5179568843024372,0.9719887274846418,1.5026753077285918e-09,4.753363965684347e-06,10,0.00548558259345072,42,2.6468545587096126
8,8,14,"(157,)","(0,)",0.6886663753944058,0.7461578927450958,3.0309452542524254e-05,2.405286060232029e-10,10,0.007091274734819082,42,2.6522799512022286
66,66,119,"(165,)","(0,)",0.7150974836605516,0.9521171859667267,1.9647302312990058e-09,0.0024188604201937133,10,0.0038591596551813905,42,2.655055387675577
65,65,36,"(103,)","(0,)",0.693883932031379,0.4696627732559979,0.04649795504139006,0.00010447426971418827,10,0.006029570363241275,42,2.657038949032284
98,98,173,"(45,)","(0,)",0.2833937612180616,0.9894512917793435,0.0004489863499444012,1.2305860537578913e-13,10,0.002405558558775773,42,2.66185786427547
48,48,29,"(74,)","(0,)",0.3171175452119755,0.14855026450131587,2.2823258243395994e-08,4.4599462025910604e-05,10,0.007573624884088541,42,2.667821892050237
79,79,145,"(85,)","(0,)",0.856845547731124,0.4273804135347894,7.094563761826989e-05,5.6382218763802674e-08,10,0.0021658932935195723,42,2.6694664650597013
30,30,66,"(9,)","(0,)",0.6032360123387033,0.42573651887086883,0.011082213983818845,8.246105186963869e-07,10,0.0023233698892375096,42,2.669770414533661
6,6,10,"(31,)","(0,)",0.615497856582603,0.790179938195776,0.0792928381206693,4.606319583340001e-08,10,0.002274329091094399,42,2.6701267269304103
2,2,29,"(112,)","(0,)",0.5896536659854412,0.6483834359793261,1.1694330778677788e-09,4.38279478703702e-15,10,0.0014425389344419092,42,2.672460497108708
21,21,82,"(86,)","(0,)",0.7688346124279154,0.7164750390227838,0.00010788400084982096,6.639151094305574e-05,10,0.0010163743001679521,42,2.6731572497945146
15,15,29,"(178,)","(0,)",0.2232803947729608,0.26726729326748067,0.001622589978775012,1.0093171459852388e-07,10,0.002491462291425601,42,2.673744906724482
3,3,175,"(71,)","(0,)",0.670681514009959,0.23168793186418074,6.962139198088435e-10,3.2720661852780423e-12,10,0.0009560527344394078,42,2.6768029984818202
94,94,153,"(19,)","(0,)",0.6508551662989085,0.6061425808220563,3.468784794859825e-07,3.0471058965000544e-13,10,0.00019168073727791448,42,2.6783748484844763
37,37,73,"(80,)","(0,)",0.6839527364248091,0.22082743847758646,0.01703868571997564,7.773248359562086e-14,10,0.00031235707348191953,42,2.678836336527586
1,1,35,"(172,)","(0,)",0.38191706109213786,0.13153482759807464,0.05582694738458024,3.694124443563244e-10,10,0.0005143707363310312,42,2.6788821610530844
36,36,42,"(193,)","(0,)",0.817994711273908,0.427310712131898,0.004913354445949099,6.597517691780004e-06,10,0.0001743768549322037,42,2.67896934443382
92,92,92,"(137,)","(0,)",0.49289116764678376,0.4663384126147734,2.6935894542702247e-10,2.1383010430442122e-07,10,0.0001387482836020666,42,2.6789934018701014
97,97,114,"(57,)","(0,)",0.9246791740398249,0.17754839652174237,1.5898710026062878e-10,2.3175511971145736e-14,10,0.00035687425725566536,42,2.6789946889510015
23,23,53,"(84,)","(0,)",0.638058972347691,0.6689281750508,0.00011372787063822757,9.54916402713764e-10,10,0.00011418768949798335,42,2.6790027914814916
52,52,93,"(146,)","(0,)",0.9086051727592092,0.7792969529984901,5.150650494242287e-08,9.583109361089918e-06,10,7.851308435594347e-05,42,2.6791711484050884
83,83,167,"(113,)","(0,)",0.7498785965987733,0.903588829903882,5.9445984802681194e-08,4.278769734165198e-07,10,6.782801958345435e-05,42,2.679181888714051
13,13,18,"(130,)","(0,)",0.25549492113084826,0.2622366068679275,1.448599197121353e-08,0.00017758902667781395,10,0.00022697262912840362,42,2.6791892443743737
93,93,94,"(78,)","(0,)",0.40240910030081134,0.4848821918871583,8.304294314912417e-05,6.703580300724494e-06,10,9.520969732208217e-05,42,2.6792136148255894
5,5,32,"(146,)","(0,)",0.20478269233875052,0.6497695890415877,6.911723208326797e-10,9.788992554650822e-08,10,6.743861949637019e-05,42,2.679344035138402
55,55,53,"(159,)","(0,)",0.6495660875232957,0.4740346590452116,0.00020695518304653552,7.87408761105772e-08,10,6.0583449991367525e-05,42,2.6794334608282355
25,25,181,"(182,)","(0,)",0.6791719010833072,0.4965547653864404,7.862591498886011e-05,0.00895134079890639,10,3.785564479304585e-05,42,2.6795198072939557
67,67,53,"(185,)","(0,)",0.12462276625308852,0.27083063401185625,2.7358474099195465e-10,7.646249945619912e-09,10,6.275400656510128e-05,42,2.679522226931017
87,87,196,"(180,)","(0,)",0.8613705075711787,0.13075466351032441,0.0006567984938925473,7.195734160416121e-15,10,8.387652888283291e-05,42,2.679584370041709
57,57,165,"(130,)","(0,)",0.7711134233747587,0.6459194357628315,0.000210579867937369,1.2606206405453556e-13,10,2.0765415030900325e-05,42,2.679589964938795
91,91,140,"(98,)","(0,)",0.5434370322895229,0.15073531464995074,3.6340535229624323e-07,1.8487321658438797e-08,10,5.429260958500842e-05,42,2.6796198103016713
64,64,66,"(5,)","(0,)",0.8100241444018944,0.961404691561669,1.1477096368960294e-05,9.543806875354188e-10,10,9.224158903588166e-06,42,2.6796508408899316
34,34,62,"(112,)","(0,)",0.7282176601399012,0.8624138805638857,1.6325625122592613e-05,2.8012632680460594e-12,10,7.5647119812559445e-06,42,2.6796719885796523
56,56,160,"(160,)","(0,)",0.1137943229548694,0.3914992017080119,1.0164417052620442e-07,1.4448087015648947e-12,10,1.0031473492903937e-05,42,2.679680955672152
76,76,138,"(43,)","(0,)",0.7352911514110725,0.32914236254725615,0.05846485165835474,1.3749203622602615e-05,10,8.596859108738332e-06,42,2.679689991286737
10,10,197,"(150,)","(0,)",0.23607745876141625,0.12959076709159886,3.5596325600065895e-10,1.1154213682780335e-13,10,2.0424696401433857e-05,42,2.6796905366523474
9,9,115,"(100,)","(0,)",0.7724903885982162,0.5478272070682871,8.310659098171618e-07,0.016267367027617337,10,5.635249267954696e-06,42,2.6796939527701538
35,35,197,"(118,)","(0,)",0.22447876994644334,0.15032837271650704,0.024131435855453912,6.8215251912328886e-06,10,1.3068941489611972e-05,42,2.6797055932513043
46,46,73,"(190,)","(0,)",0.1325643594954881,0.8486420717242268,2.0824149140802667e-09,4.999362010276657e-08,10,2.939217618459605e-06,42,2.679706924887303
